Cushing OK WTI Spot Price FOB
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=rwtc&f=a
19:36:18 GMT+0530 (India Standard Time)
Data Source: Thomson Reuters
Year,Cushing OK WTI Spot Price FOB Dollars per Barrel
2023,77.58
2022,94.9
2021,68.13
2020,39.16
2019,56.99
2018,65.23
2017,50.8
2016,43.29
2015,48.66
2014,93.17
2013,97.98
2012,94.05
2011,94.88
2010,79.48
2009,61.95
2008,99.67
2007,72.34
2006,66.05
2005,56.64
2004,41.51
2003,31.08
2002,26.18
2001,25.98
2000,30.38
1999,19.34
1998,14.42
1997,20.61
1996,22.12
1995,18.43
1994,17.2
1993,18.43
1992,20.58
1991,21.54
1990,24.53
1989,19.64
1988,15.97
1987,19.2
1986,15.05
